"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"UI Тесты","Модальное окно добавления расхода","Валидация поля комментария","0","0","4","0","0"
"UI Тесты","Модальное окно добавления расхода","Валидация поля суммы","0","0","7","0","0"
"API Tests","REST API","Expense","0","0","6","0","0"
"UI Тесты","Модальное окно добавления расхода","Добавление расхода","0","0","6","0","0"
"API Tests","REST API","Request Validation","0","0","17","0","0"
"UI Тесты","Модальное окно добавления дохода","Валидация поля комментария","0","0","4","0","0"
"UI Тесты","Модальное окно добавления дохода","Добавление дохода","0","0","6","0","0"
"API Tests","REST API","HTTP Method Validation","0","0","5","0","0"
"API Tests","REST API","Income","0","0","6","0","0"
"UI Тесты","Модальное окно добавления дохода","Валидация поля суммы","0","0","7","0","0"
"UI Тесты","Модальное окно добавления расхода","Валидация выбора категории","0","0","1","0","0"
"UI Тесты","Главная страница","Удаление транзакции","0","0","1","0","0"
"API Tests","REST API","Categories","0","0","1","0","0"
"API Tests","REST API","Root Endpoint","0","0","1","0","0"
"API Tests","REST API","Transactions","0","0","1","0","0"
