"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 05 12:59:08 UTC 2026","Wed Aug 05 12:59:11 UTC 2026","2638","MyMoney Auto Tests","UI Negative Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","shouldRejectIRandomDescriptionTooLong","shouldRejectIRandomDescriptionTooLong","Отклонение случайного комментария длиной более 500 символов"
"passed","Wed Aug 05 12:59:19 UTC 2026","Wed Aug 05 12:59:21 UTC 2026","2108","MyMoney Auto Tests","UI Negative Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","shouldRejectNegativeAmount","shouldRejectNegativeAmount","Отклонение отрицательного значения в поле суммы"
"passed","Wed Aug 05 13:00:15 UTC 2026","Wed Aug 05 13:00:15 UTC 2026","231","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","staticDataExpense","staticDataExpense","POST /api/expense — расход с суммой, категорией и описанием (статичные данные) возвращает 201 и запись с типом EXPENSE, названием, цветом категории и переданным описанием"
"passed","Wed Aug 05 13:00:00 UTC 2026","Wed Aug 05 13:00:03 UTC 2026","3015","MyMoney Auto Tests","UI Positive Tests","ui.tests.ExpenseModalTest","ui.tests.ExpenseModalTest","staticDataExpense","staticDataExpense","Добавление расхода со статичной суммой, статичным комментарием и статичной категорией"
"passed","Wed Aug 05 13:00:11 UTC 2026","Wed Aug 05 13:00:11 UTC 2026","247","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postIncomeWithTooLongDescriptionShouldReturn400","postIncomeWithTooLongDescriptionShouldReturn400","POST /api/income с описанием длиннее 500 символов возвращает 400 с сообщением о превышении максимальной длины"
"passed","Wed Aug 05 13:00:10 UTC 2026","Wed Aug 05 13:00:10 UTC 2026","218","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postIncomeWithRandomMoreThanTwoDecimalPlacesShouldReturn400","postIncomeWithRandomMoreThanTwoDecimalPlacesShouldReturn400","POST /api/income со случайной суммой с более чем 2 знаками после запятой возвращает 400 с сообщением о недопустимом количестве знаков"
"passed","Wed Aug 05 12:58:43 UTC 2026","Wed Aug 05 12:58:46 UTC 2026","2791","MyMoney Auto Tests","UI Negative Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","shouldRejectIRandomDescriptionTooLong","shouldRejectIRandomDescriptionTooLong","Отклонение случайного комментария длиной более 500 символов"
"passed","Wed Aug 05 12:59:39 UTC 2026","Wed Aug 05 12:59:42 UTC 2026","2213","MyMoney Auto Tests","UI Positive Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","staticAmount","staticAmount","Добавление дохода со статичной суммой без комментария"
"passed","Wed Aug 05 13:00:12 UTC 2026","Wed Aug 05 13:00:12 UTC 2026","211","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postToTransactionsMonthShouldReturn405","postToTransactionsMonthShouldReturn405","POST на /api/transactions/month возвращает 405 Method Not Allowed с корректным телом ошибки"
"passed","Wed Aug 05 12:59:32 UTC 2026","Wed Aug 05 12:59:35 UTC 2026","2299","MyMoney Auto Tests","UI Positive Tests","ui.tests.IncomeModalTest","ui.tests.IncomeModalTest","randomAmount","randomAmount","Добавление дохода со случайной суммой без комментария"
"passed","Wed Aug 05 13:00:06 UTC 2026","Wed Aug 05 13:00:06 UTC 2026","236","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","deleteTransactionWithInvalidIdShouldReturn400","deleteTransactionWithInvalidIdShouldReturn400","DELETE /api/transactions/invalid возвращает 400 с сообщением о недопустимом значении параметра id"
"passed","Wed Aug 05 13:00:09 UTC 2026","Wed Aug 05 13:00:09 UTC 2026","229","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postIncomeWithAmountOverOneMillionShouldReturn400","postIncomeWithAmountOverOneMillionShouldReturn400","POST /api/income с суммой 1000001 возвращает 400 с сообщением о превышении максимального лимита"
"passed","Wed Aug 05 13:00:10 UTC 2026","Wed Aug 05 13:00:10 UTC 2026","217","MyMoney Auto Tests","API Tests","api.ApiTests","api.ApiTests","postIncomeWithRandomAmountOverOneMillionShouldReturn400","postIncomeWithRandomAmountOverOneMillionShouldReturn400","POST /api/income со случайной суммой выше 1 000 000 возвращает 400 с сообщением о превышении максимального лимита"
